,company,job_title,location,company_rating,job_age,job_link,Opportunità di carriera,Stipendio e benefit,Cultura e valori,Dirigenti senior,Equilibrio lavoro/vita privata,Sede centrale,Dimensioni,Fondata nel,Tipo,Settore,Segmento,Entrate
786,A2A S.p.A.,,Italia,"<span class=""css-2lqh28 e1cjmv6j1"">4.2<i class=""css-0 e1cjmv6j0""></i></span>",Oltre 30 g,https://www.glassdoor.it/partner/jobListing.htm?pos=2707&ao=1110586&s=58&guid=0000018621486e5093bb51be38fda781&src=GD_JOB_AD&t=SR&vt=w&cs=1_354d9477&cb=1675595640926&jobListingId=1007243344510&cpc=1AD9FB1E01C94A37&jrtk=3-0-1gogkgrjkjops801-1gogkgrk5ii29800-1026fd492a16775b--6NYlbfkN0Bz6Vm0KKZgK3IGyqtYIgq3B3aSN1YYDISHIR3HLJ50iQM1f8FF86k3eNG5riA4MSz2Mm_nTByEclbhMbXDir2bUdFwx_x8fYVYj766ChpBf4mya8_IUc8RA6hwLKUWFEWxCnmzwJiY9F8P5nu-W4pt8EuJKQijRya0ULCFuvo7PDfvD33vvlSt1Aa1BZvbv_oI5_Ihq9zIeXQg8HRxuZwbboo8dn2ZOMo0PQAVFOPr-FQp-JXU0K_w-H9jg1C1MLmW0XYNnMe8Iw-3XfubxSFn9I4zgItfyaNEKFld9T1CUGF7UgqtyMH5dfVLeIQWVpGcvS7GMwk8fy_xFhXkRhIC0NKhI-GE2IJba-_zGUmFarpqyhVJ5_8gTePc38Bvoy9pmX6bT-EWCo1XoxhJg0GKdjfwuY4Ta1ISnB2GoG3cx38eLT5X0-WBfdQ6aGOQKRHCnlmQpHB2-R0mg6mI-sOkCK50QtPtYe-1I2hkDAabhFAt0o10N4dfDKSRr2O1h86dPTXCbxAVzoiCDeaLrsSCDcwAzsCrCkHXfnB8Xy4HAsqQczFnycoB_-H6IKftoUQ46a_3VeioocxI799Ltuztx2bfxZMJnXxSB9vttnsTDw%3D%3D,,,,,,,,,,,,
787,Gruppo Coopselios,Receptionist,Italia,"<span class=""css-2lqh28 e1cjmv6j1"">3<i class=""css-0 e1cjmv6j0""></i></span>",Oltre 30 g,https://www.glassdoor.it/partner/jobListing.htm?pos=2708&ao=1110586&s=58&guid=0000018621486e5093bb51be38fda781&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_42e15792&cb=1675595640926&jobListingId=1008165487023&cpc=6A22310A23505C64&jrtk=3-0-1gogkgrjkjops801-1gogkgrk5ii29800-80e84bdb4e8ec3d4--6NYlbfkN0BxQOEvJzLbFPY4r7xmFVfGTKei_eIpiF1TYD1OvgvSnFb_iDxKG-elbxREYFoBdUPDrkCu0_9qGL-R1BPMAelr-gE1AFTWqdQQskz6iZSvnOTNZM0k-_JUUuVPr48EVrhyBSCWSK3o4lVoFrtTY90JDyKE_OihK-zHsIQqHdgxIwsnnTErAofYAVwwJSRDEiJDGNfN9K___vRF-1mwfVyAayLHxN8an46jmop1dJ5bS8jH13hTxox21fUlcknX4SdLoPqT1cnc7-g-1PpR90m798ex1-hCegUhDGHL0vSu0UG5h5KGjF0tZao3yY2_C_b0NhGl_dJqgTJ40JOKIVQUbvC8Kk4Ccff4dedSqnE65kYzwzE3awSu2axLI-Kh-lXJqju2GtFajqhHl2por1loGsoJkOzOOazJsHsXRLXY29bDSYKHwXfLk4PzMfrle-TcML7HRD2RPiXtVFd3CPG0G_qfa1R22tN5-IaBadJNZmpf5pE85D6YjUx3_3WPM8qwAACDw81nWI7TlovS9UtaLlufhQEEVeefKT6eFKAdZtlc2djwHRf-HP7wa2laesKiz2MaRJ4js782cYN9I0u9GVJxch-dBPVHrzSpbP9eLanQMkUDQaLkw_Ms2ugbFFnx4ZgfM5x_gA%3D%3D,,,,,,,,,,,,
788,STMicroelectronics,Process Engineer,Agrate Brianza,"<span class=""css-2lqh28 e1cjmv6j1"">3.9<i class=""css-0 e1cjmv6j0""></i></span>",3 g,https://www.glassdoor.it/partner/jobListing.htm?pos=2709&ao=1110586&s=58&guid=0000018621486e5093bb51be38fda781&src=GD_JOB_AD&t=SR&vt=w&cs=1_99df28ea&cb=1675595640926&jobListingId=1008444145959&cpc=117F6BB3C9C96699&jrtk=3-0-1gogkgrjkjops801-1gogkgrk5ii29800-1c5c5d2063dba958--6NYlbfkN0DAv-knXWXtWP4BSZ5vXP1CKdoDUf5S6mXEs2UdONmIWlVd8a84ouEntKZlEKwwLXNCj8boDgC4SSsKuz0NPic1FsWzlqn4E_MzobqU_XLN66OQItPS8F2I8uezsKCeQ4JdRCPww7H21_DsQfmCV150Mll9RWKgH-0SYWwAJiwVTtXACvEBrA95Md9kW8iPqWTijj_WazsQ3-4xmWVtUo4_XeaZKJ3Neh9KNjjyE0NPpzO-ur97g1JO00vvvC3AwP3i6ksgiHn3qT2tkxVEZBVfDoUFW2jgdDOVbezrhAR96VTPGTBvD0TCDZ0HvfgaN1ckrz0WaQBOZOKwUipYcZngCxP6pZhorbOK77j8Rr_9QqTvCJufj0bsebdASLMv9fStFYAW29pwsqAND--WhBBS6mlYH-kZHwACP85Yj4LMrxcGaZSykxUMDHwcTnbowX-ZGsKNhai0p8EQblg3Ic9deOdQa0AD5QYgvmnjtXmhItB9NM4i4o1L32iirav7kZArCFoFb-FPw_N6K5FOERBanEjyGg32qOeTKwuBsXVkAzVdTv-1-QCfyI4BruG8PHKRtoxS5H-sqG4b6e7fr_hb0Q5Iz8CjVSJSf1oSk-uKpVDDpjS8kjCN5Ap8E5ZiX94drnIyjSDBxJ78KE8VtRp1DJm4K9xcGG8%3D,,,,,,,,,,,,
789,Bricocenter Italia,Responsabile,Rozzano,"<span class=""css-2lqh28 e1cjmv6j1"">3.4<i class=""css-0 e1cjmv6j0""></i></span>",Oltre 30 g,https://www.glassdoor.it/partner/jobListing.htm?pos=2710&ao=1110586&s=58&guid=0000018621486e5093bb51be38fda781&src=GD_JOB_AD&t=SR&vt=w&cs=1_11c657c2&cb=1675595640926&jobListingId=1008258514848&cpc=3F31A6B851F28AB5&jrtk=3-0-1gogkgrjkjops801-1gogkgrk5ii29800-fdf2d68e3197e241--6NYlbfkN0CBffRwqXny1LHmaCe0TtrzXzqusl9qR6OLHfF3XM_YcANnN0udkX4C2ncKNAj0PLobQWJ9ax3HIpSnLahHmPJL8-eYtFdvJaZoC5xJKqGjVJ3qFqz-r-N-_GFGZuOraPOMonyNKo8fXZVDXktHMNU31vQrW6tyrrpiBJIYi5GUiLQDXiICOYSDj7MyrVouYacgkZDap_QkIpP76Q7wYm3p__J9cz9VJWPbn5iFbsUqbPhtR_v0ZMSnXmkyIH5uRb-DzCgIkOBkS4pbYOFXQQjTVf3Z3wCHWQCARuuCcWrQyv8W-4onu-FFsnRQdJMVk_sYb6icP3WB_7Q0r00BVqUI7dc2_2ppNmjZKlC6fYaeXtB47yuQn0NrRnEa_FrlaOOna8gfbl1t7gBnIahFeMaBitjSh71uvA4HAiG_9fIA5ag69M83GdnRuIC1XlyoDiwg0IvzgcPirS5vsHyvYnBjCRjxMier7wMRpjvMCQASDL9PizLd0ZsImo5UsbTyAhaFUCAIaX3uc1gRieikgR2a5GBYOQzyC_mFCMnlW0CnSFJQCAslHmzOZKXbSZ5jNnylggunQ4qypkdjYVWeodlQRkzaw1cYf4s%3D,,,,,,,,,,,,
790,MS Printing Solutions,Assistente di Produzione,Guanzate,"<span class=""css-2lqh28 e1cjmv6j1"">4<i class=""css-0 e1cjmv6j0""></i></span>",17 g,https://www.glassdoor.it/partner/jobListing.htm?pos=2711&ao=1110586&s=58&guid=0000018621486e5093bb51be38fda781&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_0587f555&cb=1675595640927&jobListingId=1008414674330&cpc=CA5E2B5B7F82281C&jrtk=3-0-1gogkgrjkjops801-1gogkgrk5ii29800-cf36c06e0d20ca71--6NYlbfkN0DmPnEVoI59PiN8kjKdqJHstSvntd5UzKlKdUOtSj9mr_XZ7KccBH33Um-4PvLr1AX7we2mT5nXs8s_KJBKFjghxWY_ZJm8Xve4gwpZjzO8HCGk9QSjwf-cp46AQQqSs0gkjlq79SqhVIPzmJgz28OtxJy1dQWkBTtE9hbTsDPf7FxO54oHWn2MGEwWTdYCEdS1QLiR9sB33jyd056YmaRdALecgE5ZTV8gn3yecfcGt9R8KAaDOFHJxjIKISpGxkJ8JAea-spBg8CkOiZxnhG4M11XOg7aQFupCepX9BwbH4rGPFHV8NYdNx-vqRKXrUP3-4qUFRU7EPXc8SjMKbO82XsSX3khXA-5sA7hpaWsI3y8cOZ0q0bn0HZ1bgACXV4jf2e3v-ebHd-bUSqli4I6SnIK5e-h1np-l3lCpLL2OUfNpiwZPZBJ-1fqitWHE44QSR5eNmjv0bR9LKni2YB_Dlm-qX2KEyC8xi3UxwmaVPvCYIzWEw-9FoQ_9KXaB17l0PYz40sMUTRI3ZDiueTYU0jvSJ2Kk2vjIOhoBbUiZ5g4XbmXjG9rWusPLxiVT3h_Ik7TdNceEeTpkXOVM3_z,,,,,,,,,,,,
791,CISALPINA TOURS,Graphic Designer,Italia,,20 g,https://www.glassdoor.it/partner/jobListing.htm?pos=2712&ao=1110586&s=58&guid=0000018621486e5093bb51be38fda781&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_49e288bc&cb=1675595640927&jobListingId=1008409150192&cpc=BC94DADD91C18169&jrtk=3-0-1gogkgrjkjops801-1gogkgrk5ii29800-1331770062283235--6NYlbfkN0DDciKe2jXGefLqdJbm6YVj_SHyleaBFbe3BD2NzrDk6TgdTz6qBKS0kwaS3YgvmXZ74uF5HRWb7zc8xGPRMjbEdcO3F8iKsoJghCZhlug8SWCYi5Mmtorj3nLPfWLYqhSl6N8kfVORvf6bDOFl4g1Pn_k3G3NVazHzZP4yTmrUATg8CnpR4wjJo0mxVFz904LbXRf_-GzvtpRRPM-3oVbwnYAFP7_ar6BiUGZ06ENTA4QovLrwEaw9BD4TfodOSjPNppTW7WfzNOng1s0WhmKXyu8hTtmusD0uV5tndzE54rkRFgI100FMmQNfzqSkRpmNkbyZT3jC9x5khtawlvCbHP0M7bx1yvc0YE-LJhsBzsbqaf7ehS72tozxIsz14GHtYe-NhbyQc4eOdMYv9AKl47gBSzDHnj-rZsFw-Y8eba92SCRe7kErWaMSLMAV57q4i7krVJXMf0e5yQJ5Ued1EcJ6Gef4X5xJUaX3RkxjpEq4CMxEXhrtaRoRVFSxvyqxRkfhofAj7rQ2nu7slB9nPphgl2PYkPJ9o13i7etLSdZRBeQH-a9g-7OyPT2Qdmo%3D,,,,,,,,,,,,
792,Redcare S.r.l.,Magazziniere,Settala,"<span class=""css-2lqh28 e1cjmv6j1"">3.9<i class=""css-0 e1cjmv6j0""></i></span>",Oltre 30 g,https://www.glassdoor.it/partner/jobListing.htm?pos=2713&ao=1110586&s=58&guid=0000018621486e5093bb51be38fda781&src=GD_JOB_AD&t=SR&vt=w&cs=1_5882a3ef&cb=1675595640927&jobListingId=1008311252846&cpc=C49818E30565E1C5&jrtk=3-0-1gogkgrjkjops801-1gogkgrk5ii29800-5d928b36eaca616c--6NYlbfkN0BJKArFY49IRn__7OTokeQjzOtAQ3tICCNiDT8SJ5k7t0QUWh4kdn8CclV-0JfuAgYsEptrX0PhrAvh3_FT4oUG3L3cg2G9XQckFpZ8mW8g7_MlwDXjsqpZpnZPlWXrwuGPsI6cZhqjmbZxgzMf3ivMFae5J1hZND0duuIoInzRCrR2wF5GstZgtjqMq6SHBbIapW5n9CKiJgCv2MAC5W-C1F-WysvDO8p3R3O6InWBsx6_GOYdRrvwXSaYggCCQduHii1gVDbIQlMNAZS64X9mz1G6tJGBQqv-UzrHVgN7MX7wsqDDnt85TX3UEfRjGuV74-Mxn9A95Vje6hNAQ3ayiPlM0IV3Ag4cBULSR5JuaSuFozU_QSQPKfIbMs6F_ML2edkTAjH_WAIBnos4xH2OiBFKt8ZHh6BpskK_f_qwU0mR6OhJEcCqPmlvLeQ80StGZeLqHt8nedT_kvS1FXabaJF9VUflVGRCwhmtDF3ZcR5wcbKbtcK9lZ2yaN9q1NlRno7RuG9We6Mo7YG5di8CwXTEf2RFUdHVWusYjUOcSPqSNWS4pJlkVSrRwxNdv1CL14qkfCpnnAsv4nGpcNc1Q2pWTgNAp7ZqzLtaLYLvYW9f-9_B7Hr0UaqR-o0SqzE%3D,,,,,,,,,,,,
793,Amazon Italia,Business Developer Intern,Lombardia,"<span class=""css-2lqh28 e1cjmv6j1"">3.8<i class=""css-0 e1cjmv6j0""></i></span>",Oltre 30 g,https://www.glassdoor.it/partner/jobListing.htm?pos=2714&ao=1110586&s=58&guid=0000018621486e5093bb51be38fda781&src=GD_JOB_AD&t=SR&vt=w&cs=1_fe1dd406&cb=1675595640927&jobListingId=1008255009668&cpc=AA797275D70DCCF0&jrtk=3-0-1gogkgrjkjops801-1gogkgrk5ii29800-5eb45318949f1297--6NYlbfkN0DnGmcBTOb772ESOvFJKsImmoiORSSf-EDClh14IRIdT9ed1SlJGtbWCMkNAT9f6-SgqhUau9pjujK9uBT0buKt1S78IXHhvY_2XkG7uL0W4TgmU-nEC1dSCWDZdiug_3a0ZhDmeUgx16yH40EOVNb9eknNCppLC-49VCgwt6Ec_lB03fyyYKU6Velc2FTv8CYfZk1AzhVd3SToaszA1vtJrknUPqz_wz_yAPtGwpzpJKKnZg7tw9M4zLB5Pj1Q4ocOH6wC95Duripk5TKs2xj-H8N8kF8fRhmW_XrKP8mV4eK-Aijhp4HZ5bSJrkj0HJTi328fgwS4T-8MMhLTfOZ7utlKoXJz7Tm9lHHHyNAtgTjLhZvmlEF_y_uHieV43CAj65-yspiEad5SugGIpzBL0gJzR57b7Kqio-0jpqLN5bkiXPD875V99YVSBD29VoVn07EXaQ0gP5OlL8k-zWoI4vTMJO09CDvRFrBlcQsnBrridfJZvI2hb5MNEEypjNX6aJzjLWgqJp7PQWxlYx12ToLIipPJqcW3g55J8DvyuL7YgMoN1JQFVrSAw8a7oBQ%3D,,,,,,,,,,,,
794,Iconacasa,,Italia,"<span class=""css-2lqh28 e1cjmv6j1"">4.5<i class=""css-0 e1cjmv6j0""></i></span>",4 g,https://www.glassdoor.it/partner/jobListing.htm?pos=2715&ao=1110586&s=58&guid=0000018621486e5093bb51be38fda781&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_1275e1d5&cb=1675595640927&jobListingId=1008440370563&cpc=7095061949A44974&jrtk=3-0-1gogkgrjkjops801-1gogkgrk5ii29800-f74fd59876ceea94--6NYlbfkN0DQp6B9kO-ml6optfvhZIF909R7pNNSTyfhxsi_kddqo6azqUD8WmQU0m6HfQkCO3uraQKqPQ8gR3TsgYocsXil8MjvlmIVFUsR5C9ep2nV3wJQSxnyGT4c6E9UU5dS7q_r7JrQiE-4v6SqHMV260YanHpgHR9TieXqRimxxqGjzWmNlA-Bnfw3NPN8byNrlEMlzoyANzcGDBAyyPKEcIcHUcoronR4ndxhTqvr2GY19jultHbgvTA8OSwZ1e52IcudAYtSxKCT0sYE3aESqK3fuHEBSzcPLaE6becJo1z_D4-m7immzpUPFFf2AcrH7Y7OBX_FjI87IJil8ufeIilF0AhM94T1B_swJinBtchHydQohdVU8dcUp57B8gsQp8xkclTXy1Bk3upcsxuYoiw-UONupLZ1DbmssDcbjk5evzEZExrCIBZqwsCUpO3XCjacaEU2KV0UnMGQAL3BjPZ7dTPmLYSbuyHHb58flPbxq20IFJv68qBygrxjQrsrke-F_9Eh-fL1h74P5uCbMA0KbPn_KMHnSXHNLKi-gHznFts8pDQ4Q7e2511EaQj_aqibhlDII12DvK1d4HyGxcYG,,,,,,,,,,,,
795,Rete Servizio Civile,,Italia,,5 g,https://www.glassdoor.it/partner/jobListing.htm?pos=2716&ao=1110586&s=58&guid=0000018621486e5093bb51be38fda781&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_ce105d25&cb=1675595640927&jobListingId=1008437821557&cpc=9FE5D8D7282D4400&jrtk=3-0-1gogkgrjkjops801-1gogkgrk5ii29800-261748bbac4991ce--6NYlbfkN0DT7VMttkO2X7JG_zv-SciHGg_9GA_6tXl9BqorkB-XfasHgPTcGm0nuAFpfqedlImkeIGv-PVxbb74zKux7dHrLHucbLQ_q7bZ4NlUaMzoE_fTILuVYqaq7scesaloMQ8LPZvH-2WCY8XYdvD_Wqeeh38RJNMy-eMvzYz6ZtVJkZlsyMQcCXk9DKLuBfouM0xWIimy-AiHC9Wy6PNL5JLRWGgKPO_U_-1NCFL46zqbSZ8uthJvJ_Hn9yJzz2V2PKiNrC6h-M9GczDCYpLlQTuXmnUJIiXnYi7gw1yUL4yS7vYOjgyyfJZ5knl_YhDKkEzpMcyfvo5B_rYsmPJt1QcXWy_V5GMjXIIufbLa3nzGYU9R57chy1QSg6hnR3fCk0faIZrtrJ15H7A7ncvPZz0jdROHbyVLJlBiw_CmAfEanpbeUnpoqFxWrvfWulSE9TLuMz3ixTupffSpoDaAu2X2o_vM8nfLUCDrumTk6Y9-GfFvTgLW4IbgMWtFgD4loSDZGWOGfTdQKM-FIpTvIxZs_NTS7439QFJdSOI-T2jNqXX_LrevDBANkmuJCFdf3homd1KoNJdnbHtoGsl_G35E7YguO6tF6Ovp87aokeDN0-F7wNk6EMqVeUKyxtcAbDHRJxPCUY0QcBaDGtcd9plm,,,,,,,,,,,,
796,Human Value,Analista Immobiliare,Italia,"<span class=""css-2lqh28 e1cjmv6j1"">4.5<i class=""css-0 e1cjmv6j0""></i></span>",10 g,https://www.glassdoor.it/partner/jobListing.htm?pos=2717&ao=1110586&s=58&guid=0000018621486e5093bb51be38fda781&src=GD_JOB_AD&t=SR&vt=w&cs=1_21488697&cb=1675595640927&jobListingId=1008428556568&cpc=40021B6B9FB64F38&jrtk=3-0-1gogkgrjkjops801-1gogkgrk5ii29800-28afb250547c838a--6NYlbfkN0Cbu7h-UbSF_GGQaxjcsJH4mXose9dnRPGuIswOraEW1BCliE_XHjNelIDm7gNrajvv-XeVa4LW5IihKbm_ggaYhuaJzACCoyuVaT7pYWZLaZ6bTRA4avlbshFuprGcs4REzA_8mSK_HbZ7t-yZFjzivK7tHjXv6p36X20vv6MeRNRac6oukQ55OPSpjR8mq3Ww8jUMzYE0VIuaAAg9Ka6E03QK009r0ZehKYGR-Gmj8VMQYvQcOVCZ0NSdbJhDk2zFENeQEuN8hn4RouVqApFKIW43yqrjlqKyomAeGiWadjmWvCBiyUNjdBEymaTh4QX0_j7GMGw_yp1Q4fOtwCpaip8Q77VNE5LT0NFSNfA9TJD8a5x5jiaRTzf6dNv0h9Ena2_jcogMVjvaufydMC_d8UJkaPS9IWKMB796V5W2__WXQgUcSuRlII3ay8EAcJ658rEFQTBsKepnTF573KmdSdx1xLVif3mQoVpsuzmN_15-LH6czCMcIet00hs6KJDb_Bqkyr1dQSceCBzb2vE0OBrYADR9X-4NEExIZQlGQLZrsbgfACP8IDaUd9t4IJbKdV90QtYV-grRDkTyUGYEWUZwxqhS8aH2Uuoi4gnmw6wArw2vdAdj,,,,,,,,,,,,
797,Sdg Group Italy,Junior Consulente Statistico,Italia,,Oltre 30 g,https://www.glassdoor.it/partner/jobListing.htm?pos=2718&ao=1110586&s=58&guid=0000018621486e5093bb51be38fda781&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_91e25c97&cb=1675595640927&jobListingId=1008002126746&cpc=C49818E30565E1C5&jrtk=3-0-1gogkgrjkjops801-1gogkgrk5ii29800-141075571a32a161--6NYlbfkN0AE8umwqlP24P5MJBciCE0tQ7MfDjkg-RyuC98PLXYex8ACeSLu-GrDevAZ2Y-O4G8FEXu5GFDM2M0g4I9QH4wzEDqZ0a_F4QQBZ_zWFWbhGT06QBEsPT504af51u6QHMl4BBdE2gDhh1zSB_jF_PPT30wRH5AGH_l033Xo_cFpkwvNxcp0GyCpH1OmAQf7eTM6SPVPno7i7XJuoddWzgoAEzmbhqpzHjaxGou42hU-JLqJBCq4OloiTxIEPQeU0BYkgsjy8KzRUZpySilJIaSsu_BeR4Cx6EXXwZuxpViph4pGrmvHoFg7czrpfw3hfv5wprpDnEthZGMCgx4RbmmcOD2ufwfnH-LoQJxp9q3MMz1SpHwCCBsCqq7hrqQPYZA9aaayEvSUzEcDuckPIE7OcU9G90iHWYZYlLbHbA1bmoLpsOUA2pIybEGMQwPX37IZi_ljnkh6bU7sihNtjTC5PAuN7YJzxR0fbThgJtO0PhNmTSPLaCZ1_jl7h70_JSM5GXMG0D5_Y5Ew0f3-8wMr8Eh01eZ-wEC8OIkdUt7E3AXqs_dd1HVvsKUnEbAVobubQnN37gmgOdJBmhC_yu6jFzahhXF1SboBuicLJSz8oA%3D%3D,,,,,,,,,,,,
798,Iper La grande i,Addetto Controllo Qualità,Liscate,"<span class=""css-2lqh28 e1cjmv6j1"">3.8<i class=""css-0 e1cjmv6j0""></i></span>",1 giorno fa,https://www.glassdoor.it/partner/jobListing.htm?pos=2719&ao=1110586&s=58&guid=0000018621486e5093bb51be38fda781&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_b43433be&cb=1675595640928&jobListingId=1008449430338&cpc=EA19F5B90D514204&jrtk=3-0-1gogkgrjkjops801-1gogkgrk5ii29800-01ac63ac24c49a9e--6NYlbfkN0Drtkb5wxXwLpTXrFSgyWS5s8RiJ8JotFRCdkPO5REqvUeJDNmF4woVMnrfPlCh2nxihWekq4Fm332mUh8eFjyxszqAANxRqcf3vu7h5FGRxmiuAKiT32Y7VPkMY8PmYUJ48vm5AQYxeJeIuaIJENfzmpqO5ukN0Y93OlBiAJESLNyeGuv0VrAfV5X7ozuEF96x2MDfL6KADGM84IfyxF4poMSBpJ9oCaS0LTQzGBCY7-qeF4VjvkAZ3_diMzntZgRiY3AlJqjY8tlz_gkFDGRvEOBKB17OsMluqIs6S-1ak6XYqJRhaWmrK9013Lymv3a1_qWt3WNzk1oFl4cz_a2VPK1k2RWmbwFmh0xOnSq39ye_63fg9Et1eveHN0CAPavfC35h5OY3Xg2J_LKHgsqbv1SKqBRsJL7GNOxYkM6-QAOyJ-kU91htMUqJEEDc53o_Y_Dm5GBpGFgXYMqgiKKCOXLcsDjll2h6z8gUafWkdIkL9UvhMc5rydOPsCuVNjre5FG6knCkF52xw6FnFPXatn2K5dnZj2YlspU4GvQ2C-ayItXGA50i2uKTpTltqWVr_lqP3YbeA92OMsIMft7jnDPIVNzx6LB3BEvijywOeQ%3D%3D,,,,,,,,,,,,
799,Gruppo Tempocasa,Consulente,Italia,"<span class=""css-2lqh28 e1cjmv6j1"">4<i class=""css-0 e1cjmv6j0""></i></span>",4 g,https://www.glassdoor.it/partner/jobListing.htm?pos=2720&ao=1110586&s=58&guid=0000018621486e5093bb51be38fda781&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_b1b50fc6&cb=1675595640928&jobListingId=1008440017045&cpc=F1339989C5CB8906&jrtk=3-0-1gogkgrjkjops801-1gogkgrk5ii29800-a255f36c087741e0--6NYlbfkN0BqFYcnGQtlgZUyEPNOpiDdgWIzo4J8ITPECTVQq8Qp8cTfoGaBG9wTZSfesqTF75pez0NeHlNUklLe6IEqWir2Nr0K_FFh4lcFS_Wvh33JUXNQxZI1RJVjOxvZKdc3PUK5ketdqnuMcQagR5fpVME4mqXyLCX-7tVGEJCYG8251I1a7bmCTTFffUIjQy-g7hBl-zJKh7jwnfr4T51hvlAY1wn9J5lt-J3rZSh4RU1vmR7nN7c3cjYLAnMT2fWZEDC5fA_xtyCgMAQKWGkpj7-VHNA4Qel7PHx97jmTzzHfeLDNmefITTqhISttIdeIFxRnXFqFTcVEIajmbaz1p7qgXF4TcL_Q3lEKFgPXwF9_Li8EF_3kdvOv2d8BXQicxMTMxS5zcpUtyE_OfIBLS6IWNEQztpE8M4B3jKMJIgpUG-6011LIF1zefRvNh2_moqHHqKaxav7F_efRiOzMkWThoGR2GHBg7clURgz3V4y-WT7ERAtlgqz3H4K4RadoBWvS9JbS08IG6JhN_PWJN2kTC31gqTozHI2-0xNN1hInQF34c75aueN5sAxDzQGJmtejMA_2NFv84NouL9DeEXO4FpkfHWx76_NWEnXYouFOw04XXvIuxQH2kVNk9u-VheE_Q3mcqjpAw7x5j3EZjVx3,,,,,,,,,,,,
800,UNIQLO,Addetto Alle Vendite,Italia,"<span class=""css-2lqh28 e1cjmv6j1"">3.4<i class=""css-0 e1cjmv6j0""></i></span>",11 g,https://www.glassdoor.it/partner/jobListing.htm?pos=2721&ao=1110586&s=58&guid=0000018621486e5093bb51be38fda781&src=GD_JOB_AD&t=SR&vt=w&cs=1_a1e75ca3&cb=1675595640927&jobListingId=1008426470970&cpc=E6B95A06C1BC174B&jrtk=3-0-1gogkgrjkjops801-1gogkgrk5ii29800-27411c4efb6920e6--6NYlbfkN0ADNS7S_bk_QaI_CrwlsrYCPwIxhEPqbKfSwismzAhKFhAO0N3pd-3meo6aJkWq0JFiM2SrH9gnAx3bHNMvWLUuSs3TajGnz5MqWqUBW662MKiwifDX1CwvroGvzOQJXnjOUcibDOvfyBQ-Kyf_4ZWcAnDlxpL7jboVzojH0JvxY-ZxKq6WTsg__xG_BSyNYTahDEpuc4DRpdL3EX7YNrxIRKoos_EXyFogq9seVEFpLcVEyr5XZWm51xDA9MD8PsK5n8Xbx6os84HN43ztqf60P9wTGWU7dOzVtPbPqmFDiznhzVUo5yg1ynouqpig3jV1WDriRfnwEUr0qjm0mmKVKf9QvsTbv78kPHjDgBPHXBVzg9_7c48SZW6MAwOGSBpEMCRYfidSgz2au_ofwkPZCLS7Hq06K0jcX4nd5UaHuhwRmfn7aaNrDCBfwbdVfkUd1zSlmxtAij4CGXoMgaJc9oziQmgwCzH_EgGkJfK5jKOLptlmYvZ9yRtOdsTQCDTwBzkn4m4jC54jLLBgjQ9uletak7wYQcgU6qDh9ezrZN_6-J9KISb_s7M9KMAq94WKFOZd5tm42_jgRUtaVWDLVTRSbGVB0GHl3q_wrcVVoLONga7gf1MQEsH8LkSoLje8oXXSqCdxm0xKnsLCHV6mFQaaUlp0nR6dD-akKXeXERyJf2AGiztLWSMlYwfV3ZezQVdJVMT6-wZMXUwYfjKTYeEuPxn8lYWvP55McG8WSg%3D%3D,,,,,,,,,,,,
